genus	file	prot_id	query_syn	target_syn	q_gene	t_gene	on_main_scaf	off_main_scaf	q_total	t_total	q_blast	t_blast	n_cluster	n_ortho	q_scaffolds	t_scaffolds	q_genome_size	t_genome_size	q_N50	t_N50	div_time	_div_time_min	_div_time_min	div_time_ref
drosophila	Dmel6_vs_Dgrim.homologs_identity.tab	0.772042563797838	Dmel6	Dgrim	9740	9716	10138	1762	13986	12825	10479	10335	9032	8101	1870	1380	143726002	191382978	25286936	23286615	43	39	62.9	x
vespa	iyVesCrab1_vs_iVesVel2.homologs_identity.tab	0.983535775114618	iyVesCrab1	iVesVel2	9358	9350	8683	130	10204	10059	9536	9566	8983	8661	99	42	229313526	193976845	9767562	9190824	1	0	1	x
bombus	Bpyro_vs_iyBomTerr1.homologs_identity.tab	0.96980656128666	Bpyro	iyBomTerr1	9458	9445	9742	176	10600	10310	9698	9830	9147	8806	4727	249	254804690	392962041	15222711	14593050	NA	NA	NA	x
lytechinus	lvar3.0_vs_lpic2.1.homologs_identity.tab	0.950487139487071	Lpic2	Lvar3	17819	15890	18539	2963	24732	22667	19381	19525	13041	7599	1307	33	999463329	869598128	46031485	45571165	NA	NA	NA	x
mauremys	Mreeves_vs_Mmutica.homologs_identity.tab	0.981759682969618	Mmutica	Mreeves	20637	20464	17720	571	23281	22618	22025	21316	15086	12155	595	230	2484367879	2367607229	135065811	130473029	25.3	15.6	27.9	x
bufo	Bgarg_vs_aBufBuf1.homologs_identity.tab	0.973364344956317	Bgarg	aBufBuf1	18190	17609	18453	1754	26342	25621	24059	23327	14066	8966	1306	748	4545482719	5044744194	539822115	635713434	13.7	9.2	16.8	x
cervus	Ccan_vs_mCerEla1.homologs_identity.tab	0.995300733998776	Ccan	mCerEla1	20845	20849	16623	670	22348	22941	21618	22106	15980	13308	185	144	2526613007	2886603524	77654944	83473711	3.66	2.2	6.7	x
perca	PFLA1_vs_Pfluv1.homologs_identity.tab	0.971143095454476	PFLA1	Pfluv1	21909	21841	22385	868	28980	30165	27663	27870	15634	9569	268	303	877456336	951345774	37412490	39550354	20.2	8	22.6	x
epinephelus	Efusco_vs_Elanceo.homologs_identity.tab	0.982677825468375	Efusco	Elanceo	22113	22021	22086	1267	23879	24178	22669	22942	16516	13274	26	4201	1047012452	1087415941	44419306	46227939	10.5	10.5	10.5	Ma20216
epinephelus	Efusco_vs_Emoara.homologs_identity.tab	0.983070967757747	Efusco	Emoara	22010	21852	22308	988	23879	24178	22714	22495	16548	13442	26	4563	1047012452	1030477684	44419306	43431032	12.5	12.5	12.5	Ma20216
oreochromis	OaurZZ_vs_OnilUMD.homologs_identity.tab	0.989595216850859	OaurZZ	OnilUMD	25009	24735	25600	1078	27686	29550	26533	27554	17305	13322	304	2460	1005575223	1005681550	40723988	38839487	14.7	14.7	14.7	x
thunnus	fThuAlb1_vs_fThuMac1.homologs_identity.tab	0.991779667444986	fThuAlb1	fThuMac1	23527	23393	24017	408	24623	24646	23968	23867	16852	13593	68	58	792101331	782423979	34622995	33761101	3.85	3.4	4.3	x
insect	Dmel6_vs_AnaObli1.homologs_identity.tab	0.70592108350264	Dmel6	AnaObli1	5602	5571	9764	1689	13986	14353	8475	8408	7064	6105	1870	205	143726002	836742189	25286936	134537425	147	111.4	149	x
insect	Dmel6_vs_Cqui1.homologs_identity.tab	0.64255708882207	Dmel6	Cqui1	1492	1427	5397	4424	13986	15094	5686	5548	4610	3863	1870	57	143726002	573230032	25286936	201550677	241	216.6	265.7	x
insect	Dmel6_vs_iyVesCrab1.homologs_identity.tab	0.609228969436463	Dmel6	iyVesCrab1	346	327	1135	7985	13986	10204	4322	3863	3463	2921	1870	99	143726002	229313526	25286936	9767562	344	310.7	389.7	x
insect	Dmel6_vs_iyBomTerr1.homologs_identity.tab	0.609820700068027	Dmel6	iyBomTerr1	398	383	1057	8044	13986	10310	4306	3885	3436	2902	1870	249	143726002	392962041	25286936	14593050	344	310.7	389.7	x
placozoa	hoilungia_v_trichoplax.homolog_identity.tab	0.746805956400758	hoilungia	triad1	9624	7928	NA	NA	12575	12633	12116	11608	6554	6554	669	1415	87194036	105612636	407767	5978658	NA	NA	NA	x
hexactinellida	avas_omin_proteins_combined.homologs_identity.tab	0.66247847658948	Avas	Omin	8057	6697	NA	NA	19994	16455	9794	9420	6858	5666	186	365	80320060	61460524	3376875	676369	NA	NA	NA	x
homonid	GRCh38p14_vs_mPanTro3.homologs_identity.tab	0.983848829897205	GRCh38p14	mPanTro3	19132	18619	18651	940	20831	22620	19787	20441	15407	12799	705	1471	3298430636	3225356997	145138636	144388002	6.4	6.0	6.5	x
homonid	GRCh38p14_vs_mGorGor1.homologs_identity.tab	0.981575836041411	GRCh38p14	mGorGor1	19173	18652	18143	1492	20831	23025	19780	20555	15387	12777	705	637	3298430636	3600562452	145138636	151559850	8.6	8.3	9.3	x
homonid	GRCh38p14_vs_mPonAbe1.homologs_identity.tab	0.972799035640682	GRCh38p14	mPonAbe1	18944	18379	18238	944	20831	22437	19588	20177	15174	12553	705	2611	3298430636	3365490689	145138636	137042698	15.2	14.5	16.3	x
homonid	GRCh38p14_vs_AsiaNLE.homologs_identity.tab	0.970545845741286	GRCh38p14	AsiaNLE	18390	17878	10840	7952	20831	20527	19385	18866	15026	12580	705	2252	3298430636	2843982884	145138636	110100252	19.5	18.8	20.3	x
homonid	GRCh38p14_vs_GRCm39.homologs_identity.tab	0.840886249692051	GRCh38p14	GRCm39	17498	17090	9104	9946	20831	22192	17960	18612	13741	11231	705	61	3298430636	2728222451	145138636	130530862	87	81.3	91.0	x
homonid	GRCh38p14_vs_mMonDom1.homologs_identity.tab	0.779481091328045	GRCh38p14	mMonDom1	16230	15773	11719	6744	20831	21694	16346	17362	12060	9164	705	13	3298430636	3586166573	145138636	538302405	160	147.1	164.3	x
