GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_011170295.1	17487748	N/A	N/A	
GCA_002742125.1	5602828	GCF_002742125.1	8351248	
GCA_000298735.2	2691088	GCF_000298735.2	2701238	
GCA_000005525.1	6408	N/A	N/A	
GCA_001039535.1	1835308	N/A	N/A	
GCA_014523465.1	22050878	N/A	N/A	
GCA_011077185.1	17483678	GCF_011077185.1	20140218	
GCA_020466155.1	29596428	N/A	N/A	
GCA_012654025.1	19352348	N/A	N/A	
GCA_019049505.1	27611328	N/A	N/A	
GCA_028658305.1	40844968	N/A	N/A	
GCA_028031935.1	40362228	N/A	N/A	
GCA_947086415.1	36867358	N/A	N/A	
GCA_911728535.1	28203038	N/A	N/A	
GCA_028858845.1	41232188	N/A	N/A	
GCA_029289425.1	41561638	GCF_029289425.1	41977428	
GCA_028858825.1	41232278	N/A	N/A	
GCA_013052645.3	25597578	N/A	N/A	
GCA_000258655.2	2242958	GCF_000258655.2	2348668	
GCA_028858775.1	41093778	GCF_028858775.1	41498728	
GCA_028858805.1	41093768	N/A	N/A	
GCA_002880755.3	5907448	GCF_002880755.1	6084388	
GCA_000001515.5	3217758	GCF_000001515.7	3241928	
GCA_000090855.1	202018	N/A	N/A	
GCA_000002175.2	519258	GCF_000002175.1	2618	
GCA_932294345.1	32252838	N/A	N/A	
GCA_949127965.1	41862948	N/A	N/A	
GCA_022758105.1	32509848	N/A	N/A	
GCA_027358585.1	39156448	GCF_027358585.1	39891058	
GCA_016801045.1	24836878	N/A	N/A	
GCA_009078355.1	14712038	GCF_009078355.1	19436098	
GCA_022985145.1	32852358	N/A	N/A	
GCA_029582155.1	41957388	N/A	N/A	
GCA_020796165.1	30042828	N/A	N/A	
GCA_018350215.1	26708008	GCF_018350215.1	28185028	
GCA_008795835.1	14240268	N/A	N/A	
GCA_028533385.1	40707618	N/A	N/A	
GCA_018350195.2	27963788	GCF_018350195.1	28191738	
GCA_024034525.1	34315808	N/A	N/A	
GCA_021130815.1	30523168	N/A	N/A	
GCA_021131075.1	30523178	N/A	N/A	
GCA_023721935.1	33920548	GCF_023721935.1	34826708	
GCA_028646445.1	40945738	N/A	N/A	
GCA_015343265.1	23198388	N/A	N/A	
GCA_029641285.1	42092588	N/A	N/A	
GCA_912999745.1	28507048	GCF_912999745.1	30808548	
GCA_008728515.2	33010178	N/A	N/A	
GCA_000264685.2	4420218	GCF_000264685.3	4682678	
GCA_028645565.1	40826348	N/A	N/A	
GCA_018749465.1	27266288	N/A	N/A	
GCA_020002185.1	28960338	N/A	N/A	
GCA_024713975.2	37113088	N/A	N/A	
GCA_001904815.2	4200858	N/A	N/A	
GCA_013283005.1	20019388	N/A	N/A	
GCA_900634625.2	21712248	N/A	N/A	
GCA_910589355.1	27793268	N/A	N/A	
GCA_905163445.1	25032738	GCF_905163445.1	25327878	
GCA_949128135.1	42218188	N/A	N/A	
GCA_001522545.3	8763038	GCF_001522545.3	8763048	
GCA_001700915.1	3428378	N/A	N/A	
GCA_948474765.1	40581758	N/A	N/A	
GCA_917208275.1	29848278	N/A	N/A	
GCA_932274485.2	38035708	N/A	N/A	
GCA_902652985.1	15573358	GCF_902652985.1	18744508	
GCA_024362695.1	34816288	GCF_024362695.1	35043988	
GCA_933228935.1	32422688	N/A	N/A	
GCA_019202785.2	32520528	GCF_019202785.1	32549078	
GCA_016920825.1	25056558	N/A	N/A	
GCA_015228065.1	22920228	GCF_015228065.2	41710868	
GCA_004354835.1	8759988	GCF_004354835.1	8974128	
GCA_010015445.1	16103278	GCF_010015445.1	25052238	
GCA_025617405.1	36615498	N/A	N/A	
GCA_024416835.2	41957528	N/A	N/A	
GCA_911728515.1	28202948	N/A	N/A	
GCA_009829125.3	41607758	GCF_009829125.3	42071868	
GCA_026225835.1	37465918	N/A	N/A	
GCA_023159225.1	33010138	GCF_023159225.1	33225548	
GCA_004664715.2	22448328	GCF_004664715.2	22709168	
GCA_003704035.3	22735128	GCF_003704035.1	27394048	
GCA_003704135.2	9494188	N/A	N/A	
GCA_010993605.1	17247338	GCF_010993605.1	17421198	
GCA_947044365.1	37134288	N/A	N/A	
GCA_016906955.1	25036138	GCF_016906955.1	32734468	
GCA_918026855.4	36794738	N/A	N/A	
GCA_028646595.1	40826998	N/A	N/A	
GCA_905147815.2	28457308	N/A	N/A	
GCA_009761765.1	15641208	N/A	N/A	
GCA_905404115.1	26464788	N/A	N/A	
GCA_905333125.1	25816838	N/A	N/A	
GCA_943735915.1	34135928	N/A	N/A	
GCA_918857605.2	36954858	N/A	N/A	
GCA_932526585.2	36954948	N/A	N/A	
GCA_024763615.1	35347248	N/A	N/A	
GCA_905147745.2	33121458	N/A	N/A	
GCA_008692025.1	14079358	GCF_008692025.1	16682018	
GCA_023856395.1	34289528	N/A	N/A	
GCA_009819775.1	15715148	N/A	N/A	
GCA_020510985.1	29596568	N/A	N/A	
GCA_910591455.2	30195988	N/A	N/A	
GCA_921293015.1	30507728	N/A	N/A	
GCA_944588485.1	34675888	N/A	N/A	
GCA_949152265.1	42219138	N/A	N/A	
GCA_932526445.1	32413478	N/A	N/A	
GCA_020142125.1	29070448	N/A	N/A	
GCA_024500275.1	35018288	N/A	N/A	
GCA_019802545.1	28770708	N/A	N/A	
GCA_019802525.1	28770498	N/A	N/A	
GCA_024500385.1	35018248	N/A	N/A	
GCA_004126475.3	19523818	GCF_004126475.2	21807508	
GCA_917563865.1	34364438	N/A	N/A	
GCA_918026865.1	36464238	N/A	N/A	
GCA_002837175.5	41835818	GCF_002837175.3	41926838	
GCA_941918925.1	33818688	N/A	N/A	
GCA_905147105.1	25031948	GCF_905147105.1	30807178	
GCA_028984075.1	41232128	N/A	N/A	
GCA_029001895.1	41234388	N/A	N/A	
GCA_905475465.2	31423548	GCF_905475465.1	32607438	
GCA_905231885.1	25249368	N/A	N/A	
GCA_905147795.1	25032428	GCF_905147795.1	30652508	
GCA_023052935.1	33010148	N/A	N/A	
GCA_002776525.5	40779978	GCF_002776525.5	40779998	
GCA_028142955.1	40128308	N/A	N/A	
GCA_028253585.1	40271278	N/A	N/A	
GCA_002216045.1	4786628	N/A	N/A	
GCA_903992545.1	22176218	N/A	N/A	
GCA_010994315.2	33123368	N/A	N/A	
GCA_943735955.1	34135128	N/A	N/A	
GCA_028551515.1	40722478	N/A	N/A	
GCA_016801935.1	24836988	N/A	N/A	
GCA_916050605.2	31798228	N/A	N/A	
GCA_933228895.1	32422288	N/A	N/A	
GCA_028476575.1	40617338	N/A	N/A	
GCA_021014325.1	30360428	N/A	N/A	
GCA_905404155.3	36955858	N/A	N/A	
GCA_008729295.2	19716698	GCF_008729295.1	27731398	
GCA_026936395.1	38521378	N/A	N/A	
GCA_011397275.1	17734758	N/A	N/A	
GCA_026652325.1	38035678	N/A	N/A	
GCA_947347685.1	37886518	GCF_947347685.1	40270228	
GCA_027563975.1	39301898	GCF_027563975.1	40769508	
GCA_024760905.1	35335748	N/A	N/A	
GCA_932276165.1	32252458	GCF_932276165.1	33738088	
GCA_019096205.1	27664298	N/A	N/A	
GCA_017639485.1	25887318	N/A	N/A	
GCA_932274525.1	32252368	N/A	N/A	
GCA_004329235.1	8715478	GCF_004329235.1	8973908	
GCA_014706415.1	22448158	N/A	N/A	
GCA_027172205.1	39064418	GCF_027172205.1	40116658	
GCA_028020825.1	40362548	N/A	N/A	
GCA_011421415.1	17822978	N/A	N/A	
GCA_013036085.2	25493758	N/A	N/A	
GCA_013036135.2	25493768	N/A	N/A	
GCA_000633615.2	1064028	GCF_000633615.1	1144778	
GCA_904066995.1	22176048	N/A	N/A	
GCA_947095535.1	36871158	N/A	N/A	
GCA_015220805.1	22893788	N/A	N/A	
GCA_028583405.1	40726138	N/A	N/A	
GCA_002278615.1	5016168	N/A	N/A	
GCA_947397865.1	38326208	N/A	N/A	
GCA_943735925.1	34134998	N/A	N/A	
GCA_930367215.1	31877748	N/A	N/A	
GCA_016801845.1	24837028	N/A	N/A	
GCA_935413205.1	33058148	N/A	N/A	
GCA_949091785.1	40583388	N/A	N/A	
GCA_017654505.1	25905738	GCF_017654505.1	26539058	
GCA_937595015.1	33652568	N/A	N/A	
GCA_018290095.1	26707878	N/A	N/A	
GCA_016835505.1	24948538	GCF_016835505.1	25053388	
GCA_003073045.1	6485528	GCF_003073045.1	6539428	
GCA_004794335.1	9304958	N/A	N/A	
GCA_028885655.1	41103458	GCF_028885655.1	41470258	
GCA_028885685.1	41103468	N/A	N/A	
GCA_000001545.3	858618	N/A	N/A	
GCA_002880775.3	5907498	GCF_002880775.1	6026018	
GCA_028885625.1	41102998	GCF_028885625.1	41494988	
GCA_028885525.1	41102988	N/A	N/A	
GCA_900086635.1	5841358	N/A	N/A	
GCA_020800305.1	30044798	N/A	N/A	
GCA_017591435.1	25887368	GCF_017591435.1	30256288	
GCA_028658325.1	40844978	N/A	N/A	
GCA_028534135.1	40701008	N/A	N/A	
GCA_021018805.1	30378538	N/A	N/A	
GCA_016509475.2	28100568	GCF_016509475.1	28628198	
GCA_022837055.1	32622228	GCF_022837055.1	32847668	
GCA_028551425.1	40707428	N/A	N/A	
GCA_000180635.4	22838618	N/A	N/A	
GCA_009764475.2	25858538	GCF_009764475.1	37180478	
GCA_020424385.2	30763818	GCF_020424385.1	30767888	
GCA_028646535.1	40826958	N/A	N/A	
GCA_018397935.1	26779078	N/A	N/A	
GCA_013421045.1	20509808	N/A	N/A	
GCA_021464625.1	30995578	N/A	N/A	
GCA_932274085.1	32252398	N/A	N/A	
GCA_936450705.2	37195538	N/A	N/A	
GCA_947568835.1	38554268	N/A	N/A	
GCA_028641955.1	40976768	N/A	N/A	
GCA_019279795.1	27954368	GCF_019279795.1	28751778	
GCA_902827115.2	37183448	N/A	N/A	
GCA_028646575.1	40826938	N/A	N/A	
GCA_028646515.1	40826918	N/A	N/A	
GCA_028627135.1	40827018	N/A	N/A	
GCA_029220125.1	41495118	N/A	N/A	
GCA_029228625.1	41558668	N/A	N/A	
GCA_028390025.1	40617148	N/A	N/A	
GCA_024679245.1	35250558	N/A	N/A	
GCA_927349885.1	34440788	N/A	N/A	
GCA_009769525.1	15675298	N/A	N/A	
GCA_012977825.3	40727438	N/A	N/A	
GCA_028533765.1	40725068	N/A	N/A	
GCA_911728475.2	31798768	N/A	N/A	
GCA_947425015.1	38460748	N/A	N/A	
GCA_914767695.1	28912878	N/A	N/A	
GCA_027422405.1	39150198	N/A	N/A	
GCA_018831695.1	27332748	GCF_018831695.1	28273288	
GCA_028975605.1	41274258	N/A	N/A	
GCA_025170145.1	35856068	N/A	N/A	
GCA_015220715.1	22893488	GCF_015220715.1	22989918	
GCA_947507595.1	38549368	N/A	N/A	
GCA_949316185.1	41863458	N/A	N/A	
GCA_911387765.1	28019808	N/A	N/A	
GCA_905333025.2	31423898	N/A	N/A	
GCA_004786255.1	9338248	N/A	N/A	
GCA_019425775.1	28144488	N/A	N/A	
GCA_029574335.1	41986658	N/A	N/A	
GCA_029206835.1	41472128	N/A	N/A	
GCA_905171775.1	25032848	GCF_905171775.1	25532638	
GCA_019903745.2	42178048	N/A	N/A	
GCA_028751875.1	41069198	N/A	N/A	
GCA_015227675.2	24462838	GCF_015227675.2	24464048	
GCA_021556685.1	31069348	N/A	N/A	
GCA_023515805.1	33530128	N/A	N/A	
GCA_023515785.1	33530138	N/A	N/A	
GCA_000001895.4	1156538	GCF_000001895.5	1174938	
GCA_000002265.1	280818	GCF_000002265.2	5448	
GCA_011064425.1	17349558	GCF_011064425.1	17589068	
GCA_011800105.1	18187168	N/A	N/A	
GCA_006182925.3	26891908	N/A	N/A	
GCA_905340355.1	25821158	N/A	N/A	
GCA_948150685.1	39886138	N/A	N/A	
GCA_028389875.1	40616538	N/A	N/A	
GCA_013398505.2	26551588	N/A	N/A	
GCA_901001135.2	26551428	N/A	N/A	
GCA_021869965.1	31441048	GCF_021869965.1	33585118	
GCA_932526625.1	32413508	N/A	N/A	
GCA_028646465.1	40826878	N/A	N/A	
GCA_019453435.1	28259538	N/A	N/A	
GCA_004115265.3	22902458	GCF_004115265.2	35778158	
GCA_007565055.1	12697768	GCF_007565055.1	13709688	
GCA_013339725.1	20083008	GCF_013339725.1	22929088	
GCA_013339695.2	34298078	GCF_013339695.2	34580118	
GCA_944452935.1	34552108	N/A	N/A	
GCA_003676215.3	8401378	GCF_003676215.2	8519198	
GCA_020882245.1	30152068	N/A	N/A	
GCA_027574665.1	39302198	N/A	N/A	
GCA_949710005.1	41864088	N/A	N/A	
GCA_019009955.1	27558238	N/A	N/A	
GCA_028500815.1	40701278	GCF_028500815.1	41112028	
GCA_028501385.1	40722238	N/A	N/A	
GCA_023566225.1	33684918	N/A	N/A	
GCA_028533395.1	40722518	N/A	N/A	
GCA_009026015.1	14470678	N/A	N/A	
GCA_936432065.2	38035998	N/A	N/A	
GCA_943734655.2	40782168	GCF_943734655.1	40981808	
GCA_916048095.2	31798418	N/A	N/A	
GCA_021498475.1	31014398	N/A	N/A	
GCA_902148845.1	12009968	GCF_902148845.1	12231168	
GCA_905237065.2	26439548	GCF_905237065.1	30587258	
GCA_923944775.1	33713938	N/A	N/A	
GCA_931346935.2	33230178	N/A	N/A	
GCA_021399835.1	30921358	N/A	N/A	
GCA_000233375.4	1808638	GCF_000233375.1	2308328	
GCA_901001165.2	26551338	N/A	N/A	
GCA_029448725.1	41749788	N/A	N/A	
GCA_016432855.1	24458738	GCF_016432855.1	24508998	
GCA_002910315.2	6017428	GCF_002910315.2	6026118	
GCA_008315115.2	21590618	GCF_008315115.2	21714828	
GCA_023718385.1	34053128	N/A	N/A	
GCA_927399465.1	31578998	N/A	N/A	
GCA_014635995.1	22229768	N/A	N/A	
GCA_930367235.1	31878318	N/A	N/A	
GCA_936449025.2	38036068	N/A	N/A	
GCA_932273835.1	32252548	N/A	N/A	
GCA_902635505.1	15441038	GCF_902635505.1	15648578	
GCA_020844145.1	30095478	N/A	N/A	
GCA_947532125.1	38477638	N/A	N/A	
GCA_905146935.1	24739288	N/A	N/A	
GCA_024453875.1	34912438	N/A	N/A	
GCA_020382885.1	29472988	GCF_020382885.2	30794128	
GCA_016801065.1	24836928	N/A	N/A	
GCA_016801415.1	24836918	N/A	N/A	
GCA_019175285.1	27805748	GCF_019175285.1	27908168	
GCA_021461395.2	31991108	GCF_021461395.2	32119158	
GCA_023864275.2	34500848	GCF_023864275.1	34606698	
GCA_023897955.2	34947138	GCF_023897955.1	35005948	
GCA_023898315.2	34500868	GCF_023898315.1	34594428	
GCA_021461385.2	31991118	GCF_021461385.2	32134618	
GCA_023864345.3	34900758	GCF_023864345.2	34900778	
GCA_944470425.2	40708498	N/A	N/A	
GCA_944470445.2	40708308	N/A	N/A	
GCA_944474815.3	40709588	N/A	N/A	
GCA_944470375.2	40708278	N/A	N/A	
GCA_000699445.3	31741368	GCF_000699445.3	36766808	
GCA_944470465.2	40709048	N/A	N/A	
GCA_944470455.2	40708778	N/A	N/A	
GCA_944470365.2	40708228	N/A	N/A	
GCA_944470385.2	40708248	N/A	N/A	
GCA_025215515.1	35950658	N/A	N/A	
GCA_021461655.1	30942428	N/A	N/A	
GCA_000237925.5	28886498	N/A	N/A	
GCA_944470205.2	40708188	N/A	N/A	
GCA_944470405.2	40708148	N/A	N/A	
GCA_944470415.2	40708118	N/A	N/A	
GCA_944470435.2	40708558	N/A	N/A	
GCA_946903255.1	36658268	N/A	N/A	
GCA_944470395.2	40707988	N/A	N/A	
GCA_020882235.1	30152078	N/A	N/A	
GCA_027474115.1	39150228	N/A	N/A	
GCA_027422435.1	39150428	N/A	N/A	
GCA_027422415.1	39150208	N/A	N/A	
GCA_019022885.1	27558778	N/A	N/A	
GCA_022537955.1	32222038	N/A	N/A	
GCA_905475405.1	26466748	N/A	N/A	
GCA_014183145.1	21590388	N/A	N/A	
GCA_902686445.2	21712188	GCF_902686445.1	32592718	
GCA_028643795.1	40828938	N/A	N/A	
GCA_902686455.2	21712258	N/A	N/A	
GCA_900964775.1	9354238	GCF_900964775.1	9581718	
GCA_023634345.2	35211418	N/A	N/A	
GCA_023634425.1	33724808	N/A	N/A	
GCA_027409825.1	39150458	GCF_027409825.1	39980498	
GCA_022379125.1	32002528	GCF_022379125.1	32497088	
GCA_003186165.1	6593228	N/A	N/A	
GCA_013347765.1	20100328	GCF_013347765.1	20373028	
GCA_023238725.1	33251568	N/A	N/A	
GCA_949320045.1	41863698	N/A	N/A	
GCA_902713615.2	25814378	N/A	N/A	
GCA_014673565.1	22230908	N/A	N/A	
GCA_015220745.1	22893738	GCF_015220745.1	23042528	
GCA_913789895.3	31798848	N/A	N/A	
GCA_917880725.1	30194578	N/A	N/A	
GCA_022539315.2	35309148	GCF_022539315.1	35864388	
GCA_021018895.1	30378518	N/A	N/A	
GCA_023856345.1	34108938	N/A	N/A	
GCA_914767545.1	28912678	N/A	N/A	
GCA_943735995.1	34134698	N/A	N/A	
GCA_001746935.2	23658908	N/A	N/A	
GCA_947562105.1	38551938	N/A	N/A	
GCA_021292165.1	30740398	N/A	N/A	
GCA_949319165.1	41863638	N/A	N/A	
GCA_922984085.1	30642728	N/A	N/A	
GCA_946808225.1	36657878	N/A	N/A	
GCA_014805685.1	22447898	GCF_014805685.1	31815588	
GCA_023972475.1	35127918	N/A	N/A	
GCA_004115045.3	21450658	N/A	N/A	
GCA_020085105.1	29026848	GCF_020085105.1	29146328	
GCA_027580155.1	39302488	N/A	N/A	
GCA_011952085.1	18616108	N/A	N/A	
GCA_011952075.1	18616058	N/A	N/A	
GCA_027580175.1	39302458	N/A	N/A	
GCA_011952095.1	18616238	N/A	N/A	
GCA_007844125.1	13113648	N/A	N/A	
GCA_009762815.1	15642868	N/A	N/A	
GCA_028829895.1	41069188	N/A	N/A	
GCA_020466265.1	29596448	N/A	N/A	
GCA_026874595.1	38428838	N/A	N/A	
GCA_008086715.1	13447508	N/A	N/A	
GCA_021018905.1	30378508	N/A	N/A	
GCA_017141385.1	25494118	N/A	N/A	
GCA_014356515.1	22011098	N/A	N/A	
GCA_019176455.1	27821598	GCF_019176455.1	29145218	
GCA_919967415.2	32581078	N/A	N/A	
GCA_021229015.1	30641868	N/A	N/A	
GCA_016802725.1	24832458	GCF_016802725.1	24925428	
GCA_010367695.1	16604408	N/A	N/A	
GCA_009650705.1	15409478	N/A	N/A	
GCA_009299975.1	15016468	N/A	N/A	
GCA_018691235.1	27176498	N/A	N/A	
GCA_009299965.1	15016458	N/A	N/A	
GCA_027595985.1	39302268	GCF_027595985.1	42003698	
GCA_900880675.2	26551448	N/A	N/A	
GCA_003309015.1	6917688	N/A	N/A	
GCA_027358695.2	40366748	GCF_027358695.1	40414188	
GCA_902148855.1	12010688	GCF_902148855.1	12393908	
GCA_021028975.2	32617138	GCF_021028975.2	33021618	
GCA_943590905.1	34318648	N/A	N/A	
GCA_913789915.3	31799218	N/A	N/A	
GCA_027474245.1	39150238	N/A	N/A	
GCA_947568825.1	38560598	N/A	N/A	
GCA_916048165.1	28985558	N/A	N/A	
GCA_905220595.1	25060558	N/A	N/A	
GCA_947247005.1	37127258	N/A	N/A	
GCA_902829305.4	37392448	N/A	N/A	
GCA_022315195.1	32002348	N/A	N/A	
GCA_011316535.1	17719398	N/A	N/A	
GCA_023101765.3	35315708	GCF_023101765.2	35474538	
GCA_012979215.2	24837408	N/A	N/A	
GCA_011064685.2	33115428	GCF_011064685.2	33115448	
GCA_902850265.1	34363798	N/A	N/A	
GCA_002706865.3	33123618	GCF_002706865.2	33123638	
GCA_949361645.1	41863818	N/A	N/A	
GCA_022829025.1	32617098	N/A	N/A	
GCA_022316705.1	31912928	GCF_022316705.1	33687648	
GCA_000757645.3	10888278	N/A	N/A	
GCA_943735885.1	34135048	N/A	N/A	
GCA_028646385.1	40826718	N/A	N/A	
GCA_944452665.1	34552558	N/A	N/A	
GCA_009819605.1	15715288	N/A	N/A	
GCA_916613615.1	29214008	N/A	N/A	
GCA_942159475.1	33818788	N/A	N/A	
GCA_021234535.1	30652308	N/A	N/A	
GCA_011074415.1	17487408	N/A	N/A	
GCA_933228675.1	32422618	N/A	N/A	
GCA_019095985.1	27721078	N/A	N/A	
GCA_901699155.2	27429208	N/A	N/A	
GCA_004027225.2	17349718	GCF_004027225.2	17492068	
GCA_001040885.1	1846968	GCF_001040885.1	6363998	
GCA_029582065.1	41957368	N/A	N/A	
GCA_023376015.1	33421108	N/A	N/A	
GCA_949127995.1	41862978	N/A	N/A	
GCA_024139225.1	34529468	GCF_024139225.1	34907378	
GCA_006229205.1	11602568	GCF_006229205.1	11840368	
GCA_000003025.6	4121818	GCF_000003025.6	4192498	
GCA_024718415.1	35298558	N/A	N/A	
GCA_002844635.1	5798698	N/A	N/A	
GCA_015776825.1	23658518	N/A	N/A	
GCA_007644095.1	12983798	N/A	N/A	
GCA_023065335.1	32865038	N/A	N/A	
GCA_023065355.1	32865058	N/A	N/A	
GCA_900119615.2	4118188	N/A	N/A	
GCA_017957985.1	26265638	N/A	N/A	
GCA_020567905.1	29804948	N/A	N/A	
GCA_006511355.2	26538658	N/A	N/A	
GCA_009819655.1	15715278	N/A	N/A	
GCA_014839755.1	22448278	N/A	N/A	
GCA_015711505.1	23531888	N/A	N/A	
GCA_947579665.1	38564878	N/A	N/A	
GCA_028878055.1	41102968	N/A	N/A	
GCA_028878085.1	41102978	N/A	N/A	
GCA_028642525.1	40827588	N/A	N/A	
GCA_947650265.1	38905318	N/A	N/A	
GCA_029721515.1	42226048	N/A	N/A	
GCA_936446665.2	38036568	N/A	N/A	
GCA_945859745.1	36656818	N/A	N/A	
GCA_944738685.1	34676278	N/A	N/A	
GCA_947623395.1	38594738	N/A	N/A	
GCA_918317495.1	30000028	N/A	N/A	
GCA_029718625.1	42142558	N/A	N/A	
GCA_027744825.1	39551038	GCF_027744825.2	40976578	
GCA_019802595.1	28770718	N/A	N/A	
GCA_901709675.2	21712218	GCF_901709675.1	22784178	
GCA_948146105.1	41066988	N/A	N/A	
GCA_024217435.4	37467938	N/A	N/A	
GCA_905187475.1	25031978	N/A	N/A	
GCA_905220375.1	25060658	N/A	N/A	
GCA_944452675.1	34551238	N/A	N/A	
GCA_015852505.1	23714148	GCF_015852505.1	24213648	
GCA_015598185.1	23361188	N/A	N/A	
GCA_004210375.1	9057858	N/A	N/A	
GCA_022655615.1	32378468	GCF_022655615.1	32734138	
GCA_023638525.1	33745898	N/A	N/A	
GCA_001923025.3	7536988	N/A	N/A	
GCA_023968675.1	34232228	N/A	N/A	
GCA_003957565.4	26615478	GCF_003957565.2	26711698	
GCA_008822115.3	17077798	N/A	N/A	
GCA_008822125.1	14231518	N/A	N/A	
GCA_009859065.2	18204948	N/A	N/A	
GCA_008822105.2	17077808	GCF_008822105.2	17341008	
GCA_000151805.2	538328	GCF_000151805.1	524908	
GCA_004026145.2	22062128	N/A	N/A	
GCA_003711565.2	13201168	N/A	N/A	
GCA_901000725.3	26566728	N/A	N/A	
GCA_000180615.2	310208	GCF_000180615.1	448068	
GCA_023851605.1	34053158	N/A	N/A	
GCA_025594165.1	36548578	N/A	N/A	
GCA_028673005.1	40978788	N/A	N/A	
GCA_028533255.1	40722578	N/A	N/A	
GCA_009769465.1	15648928	N/A	N/A	
GCA_910589615.1	27793998	N/A	N/A	
GCA_020745685.1	29961668	N/A	N/A	
GCA_029721355.1	42226498	N/A	N/A	
GCA_948473455.1	40580268	N/A	N/A	
GCA_020615435.1	29951728	N/A	N/A	
GCA_002237135.4	35309348	N/A	N/A	
GCA_933228915.1	32422558	N/A	N/A	
GCA_947538915.1	38550688	N/A	N/A	
GCA_943736025.1	34134788	N/A	N/A	
GCA_914767705.2	31799248	N/A	N/A	
GCA_949152475.1	42219698	N/A	N/A	
GCA_928718305.1	31579278	N/A	N/A	
GCA_028476895.1	40617758	N/A	N/A	
GCA_902500255.1	14568638	GCF_902500255.1	19120838	
GCA_023658055.1	33754678	N/A	N/A	
GCA_948465475.1	40567018	N/A	N/A	
GCA_009823395.1	15727168	N/A	N/A	
GCA_009769535.1	15675228	GCF_009769535.1	15868818	
GCA_914767995.1	28913348	N/A	N/A	
GCA_937620795.1	33653028	N/A	N/A	
GCA_947397855.1	38321198	N/A	N/A	
GCA_026168455.1	37374738	N/A	N/A	
GCA_939531255.2	38036158	N/A	N/A	
GCA_947578465.1	38563928	N/A	N/A	
GCA_027580255.1	39301318	N/A	N/A	
GCA_020745775.1	29961678	N/A	N/A	
GCA_003255815.1	6694698	GCF_003255815.1	6722658	
GCA_028533075.1	40722388	N/A	N/A	
GCA_943138885.2	36868388	N/A	N/A	
GCA_948477245.1	40581838	N/A	N/A	
GCA_914725855.1	28912588	GCF_914725855.1	29367628	
GCA_910596095.1	27798128	GCF_910596095.1	27910168	
GCA_905147785.1	25032458	N/A	N/A	
GCA_023634145.1	33723888	N/A	N/A	
GCA_004348285.1	8760008	N/A	N/A	
GCA_911387775.1	28019928	N/A	N/A	
GCA_007210705.1	12698328	N/A	N/A	
GCA_010645155.1	17056088	N/A	N/A	
GCA_948098905.1	39328608	N/A	N/A	
GCA_002928295.1	6021728	N/A	N/A	
GCA_002009905.3	4365698	N/A	N/A	
GCA_948150575.1	39887378	N/A	N/A	
GCA_910589645.1	27793888	N/A	N/A	
GCA_905220615.1	25060548	N/A	N/A	
GCA_944319695.1	34440858	N/A	N/A	
GCA_020055645.1	28964018	N/A	N/A	
GCA_947859335.1	39330168	N/A	N/A	
GCA_016801885.1	24837018	N/A	N/A	
GCA_017976425.1	26270388	GCF_017976425.1	26407908	
GCA_013100865.1	19611518	GCF_013100865.1	19715108	
GCA_028533065.1	40700088	N/A	N/A	
GCA_905171665.2	30315298	N/A	N/A	
GCA_028551375.1	40700118	N/A	N/A	
GCA_000002335.3	2942868	GCF_000002335.3	3062608	
GCA_019155225.1	27749848	N/A	N/A	
GCA_939628115.1	34136698	N/A	N/A	
GCA_022388455.1	32005818	N/A	N/A	
GCA_002221485.1	4992968	N/A	N/A	
GCA_008807795.1	14217138	N/A	N/A	
GCA_008807755.1	14217098	N/A	N/A	
GCA_008807775.1	14217118	N/A	N/A	
GCA_008807815.1	14217158	N/A	N/A	
GCA_000181795.3	8216408	N/A	N/A	
GCA_944472135.2	40708438	N/A	N/A	
GCA_944472155.2	40708468	N/A	N/A	
GCA_003590095.1	7491638	GCF_003590095.1	7621598	
GCA_011100635.1	17408528	GCF_011100635.1	22475158	
GCA_943736015.1	34135618	N/A	N/A	
GCA_945859785.2	38025988	N/A	N/A	
GCA_029783895.1	42223608	N/A	N/A	
GCA_015846415.1	23785448	N/A	N/A	
GCA_024868665.1	35855778	N/A	N/A	
GCA_008369825.1	13707448	N/A	N/A	
GCA_947095525.1	36871128	N/A	N/A	
GCA_020746105.1	29961948	N/A	N/A	
GCA_023509865.1	33530068	N/A	N/A	
GCA_011762595.1	18125728	GCF_011762595.1	18828668	
GCA_029230345.1	41558558	N/A	N/A	
GCA_947561695.1	38551498	N/A	N/A	
GCA_947369235.1	38308468	N/A	N/A	
GCA_026930045.1	38597778	GCF_026930045.1	41749358	
GCA_028551405.1	40700358	N/A	N/A	
GCA_905147765.2	29135278	GCF_905147765.1	32549438	
GCA_905220365.2	32174068	N/A	N/A	
GCA_028533085.1	40722378	N/A	N/A	
GCA_019457755.1	28214638	GCF_019457755.1	28663488	
GCA_026259375.1	37582498	N/A	N/A	
GCA_013332515.1	20021648	N/A	N/A	
GCA_012393435.1	18797598	N/A	N/A	
GCA_910589235.2	31798628	GCF_910589235.1	32002498	
GCA_912470025.1	28357308	GCF_912470025.1	32592368	
GCA_905340365.1	25821188	N/A	N/A	
GCA_014466195.1	22011158	N/A	N/A	
GCA_014466175.1	22011138	GCF_014466175.1	28751418	
